0.947077;
0.9435144;
0.9423894;
0.9435144;
0.9431395;
0.9393893;
0.9378893;
0.9365768;
0.9356393;
0.9358269;
0.9356393;
0.9380769;
0.9373268;
0.9347018;
0.9347018;
0.9339518;
0.9337643;
1.076079;
1.222144;
1.310645;
1.423147;
1.511648;
1.561524;
1.619837;
1.686776;
1.743027;
1.776027;
1.81109;
1.835841;
1.856091;
1.883091;
1.898841;
1.913092;
1.923029;
1.926217;
1.925842;
1.928842;
1.929029;
1.925467;
1.920592;
1.917967;
1.911217;
1.900529;
1.896404;
1.890966;
1.883841;
1.875404;
1.870341;
1.862466;
1.855716;
1.845966;
1.839778;
1.833778;
1.826653;
1.814278;
1.80584;
1.801903;
1.792152;
1.788215;
1.780715;
1.776027;
1.761027;
1.756152;
1.755589;
1.749214;
1.734964;
1.732527;
1.726714;
1.725964;
1.721276;
1.710214;
1.702151;
1.696713;
1.693901;
1.687713;
1.678151;
1.673276;
1.668776;
1.664838;
1.661463;
1.650588;
1.641588;
1.641213;
1.6384;
1.635025;
1.626212;
1.617025;
1.613275;
1.610462;
1.60465;
1.603899;
1.596774;
1.588337;
1.582524;
1.580837;
1.574462;
1.571462;
1.563586;
1.561711;
1.555149;
1.550461;
1.548211;
1.542586;
1.533961;
1.531523;
1.527773;
1.523086;
1.520086;
1.515023;
1.503773;
1.505273;
1.499273;
1.49571;
1.494398;
1.487835;
1.476773;
1.474897;
1.472085;
1.470022;
1.466085;
1.45971;
1.457835;
1.449397;
1.448835;
1.441522;
1.441522;
1.43946;
1.433084;
1.430459;
1.422772;
1.418647;
1.416772;
1.412084;
1.410022;
1.408897;
1.402522;
1.393334;
1.392209;
1.388459;
1.385834;
1.381709;
1.377209;
1.374771;
1.371771;
1.364458;
1.364083;
1.359583;
1.356396;
1.351896;
1.348521;
1.345521;
1.339708;
1.33502;
1.33352;
1.331083;
1.326395;
1.32302;
1.32077;
1.317958;
1.312145;
1.308208;
1.307083;
1.30277;
1.301645;
1.297707;
1.29527;
1.29077;
1.287395;
1.278957;
1.275957;
1.277082;
1.273707;
1.273144;
1.270332;
1.264332;
1.260769;
1.256269;
1.252144;
1.251019;
1.247644;
1.246894;
1.244457;
1.240519;
1.240519;
1.236394;
1.234331;
1.228894;
1.225144;
1.221769;
1.219519;
1.218019;
1.218956;
1.215394;
1.211269;
1.209769;
1.206206;
1.198893;
1.194956;
1.195143;
1.192518;
1.191018;
1.190268;
1.187268;
1.182956;
1.180893;
1.179018;
1.173768;
1.167018;
1.16683;
1.165143;
1.163455;
